sample_index,timestamp_sec,raw,voltage_v
121059,7.5661875,-29848,0.0
121060,7.56625,-29847,0.0
121061,7.5663125,-29851,0.0
121062,7.566375,-29854,0.0
121063,7.5664375,-29855,0.0
121064,7.5665,-29852,0.0
121065,7.5665625,-29849,0.0
121066,7.566625,-29849,0.0
121067,7.5666875,-29849,0.0
121068,7.56675,-29849,0.0
121069,7.5668125,-29847,0.0
121070,7.566875,-29850,0.0
121071,7.5669375,-29851,0.0
121072,7.567,-29856,0.0
121073,7.5670625,-29854,0.0
121074,7.567125,-29854,0.0
121075,7.5671875,-29853,0.0
121076,7.56725,-29850,0.0
121077,7.5673125,-29849,0.0
121078,7.567375,-29857,0.0
121079,7.5674375,-29863,0.0
121080,7.5675,-29858,0.0
121081,7.5675625,-29858,0.0
121082,7.567625,-29856,0.0
121083,7.5676875,-29854,0.0
121084,7.56775,-29852,0.0
121085,7.5678125,-29850,0.0
121086,7.567875,-29853,0.0
121087,7.5679375,-29854,0.0
121088,7.568,-29857,0.0
121089,7.5680625,-29854,0.0
121090,7.568125,-29856,0.0
121091,7.5681875,-29858,0.0
121092,7.56825,-29850,0.0
121093,7.5683125,-29846,0.0
121094,7.568375,-29851,0.0
121095,7.5684375,-29857,0.0
121096,7.5685,-29862,0.0
121097,7.5685625,-29851,0.0
121098,7.568625,-29849,0.0
121099,7.5686875,-29849,0.0
121100,7.56875,-29852,0.0
121101,7.5688125,-29855,0.0
121102,7.568875,-29853,0.0
121103,7.5689375,-29857,0.0
121104,7.569,-29857,0.0
121105,7.5690625,-29858,0.0
121106,7.569125,-29856,0.0
121107,7.5691875,-29858,0.0
121108,7.56925,-29852,0.0
121109,7.5693125,-29854,0.0
121110,7.569375,-29852,0.0
121111,7.5694375,-29852,0.0
121112,7.5695,-29852,0.0
121113,7.5695625,-29857,0.0
121114,7.569625,-29863,0.0
121115,7.5696875,-29857,0.0
121116,7.56975,-29860,0.0
121117,7.5698125,-29860,0.0
121118,7.569875,-29861,0.0
121119,7.5699375,-29862,0.0
121120,7.57,-29861,0.0
121121,7.5700625,-29863,0.0
121122,7.570125,-29860,0.0
121123,7.5701875,-29862,0.0
121124,7.57025,-29860,0.0
121125,7.5703125,-29859,0.0
121126,7.570375,-29866,0.0
121127,7.5704375,-29861,0.0
121128,7.5705,-29856,0.0
121129,7.5705625,-29863,0.0
121130,7.570625,-29858,0.0
121131,7.5706875,-29851,0.0
121132,7.57075,-29853,0.0
121133,7.5708125,-29860,0.0
121134,7.570875,-29859,0.0
121135,7.5709375,-29860,0.0
121136,7.571,-29858,0.0
121137,7.5710625,-29857,0.0
121138,7.571125,-29863,0.0
121139,7.5711875,-29863,0.0
121140,7.57125,-29858,0.0
121141,7.5713125,-29857,0.0
121142,7.571375,-29864,0.0
121143,7.5714375,-29868,0.0
121144,7.5715,-29863,0.0
121145,7.5715625,-29861,0.0
121146,7.571625,-29857,0.0
121147,7.5716875,-29853,0.0
121148,7.57175,-29851,0.0
121149,7.5718125,-29853,0.0
121150,7.571875,-29854,0.0
121151,7.5719375,-29847,0.0
121152,7.572,-29850,0.0
121153,7.5720625,-29857,0.0
121154,7.572125,-29859,0.0
121155,7.5721875,-29857,0.0
121156,7.57225,-29860,0.0
121157,7.5723125,-29861,0.0
121158,7.572375,-29858,0.0
121159,7.5724375,-29856,0.0
121160,7.5725,-29858,0.0
121161,7.5725625,-29854,0.0
121162,7.572625,-29856,0.0
121163,7.5726875,-29853,0.0
121164,7.57275,-29854,0.0
121165,7.5728125,-29857,0.0
121166,7.572875,-29859,0.0
121167,7.5729375,-29853,0.0
121168,7.573,-29854,0.0
121169,7.5730625,-29860,0.0
121170,7.573125,-29857,0.0
